OBJECTID,STUD_AR_ID,STUD_AR_NM,POP_10,POP_14,Acres,AC_PER_1K,RepPrkAc,NEED_DESCP,PCT_Walk,MapLoc,DISTRICT
159,132,City of Pasadena - Eastside / Unincorporated Kinneloa Mesa,60109,59505,6376.846589252359,1.431107,85.15800000000002,Moderate,51.1176012299,South County,5
160,146,City of LA West Hills - Woodland Hills \ Unic Conoga Park - West Hills,89627,90301,13035.302073093424,2.570857,232.151,Moderate,31.7309218262,South County,"3, 5"
161,152,City of LA Chatsworth - Porter Ranch / Unin. Chatsworth / Unic. Northridge / Unic. Conoga Park / Unic Porter Ranch-Oat Mountain,96128,99808,26378.800522452228,3.94779,394.021,Low,41.9421259349,South County,5
162,045,City of LA Westwood / Unincorporated Sawtelle VA Center,52161,53498,2935.4522665587206,0.663576,35.5,Very High,26.0226355326,South County,3
163,084,City of LA Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass / Unic Universal City,78803,80764,9084.352205524805,0.807402,65.209,Low,36.3773779462,South County,3
164,026,City of LA Bel Air - Beverly Crest/ Unincorporated Hollywood Hills,20945,20677,9796.283465074774,0.569377,11.773,Very Low,18.9754014056,South County,3
165,144,City of Glendora / Unincorporated Glendora,50878,52166,12919.68539294184,1.750393,91.311,Low,43,South County,5
166,171,City of Claremont / Unincorporated Claremont,36031,37100,9343.034915678563,3.371267,125.07399999999998,Low,71.2942441973,South County,1
167,159,City of La Verne / Unincorporated La Verne/ Unincorporated Claremont,33219,34447,8289.954759999797,2.7,92,Very Low,58.0252883406,South County,5
168,156,City of San Dimas / Unincorporated San Dimas,34026,35073,10361.823590520851,44.619345,1564.462,Very Low,38.4642113137,South County,5
169,007,City of Bradbury / Unincorporated Bradbury,1287,1244,1273.0400719100567,0.518366,0.6448472086282921,Very Low,10.3024684524,South County,5
170,078,City of South El Monte/ Unincorporated El Monte/ Unincorporated Whittier Narrows,21956,22340,1903.4924282668057,0.703984,15.727,Low,35.6485202859,South County,1
171,003,City of Vernon / Unincorporated Vernon,112,223,3330.3686227569674,0,0,Very Low,20.8595038139,South County,1
172,109,City of Lynwood/ Unincorporated Lynwood,69772,71145,3183.55944542768,1.643601,116.934,High,62.8347178857,South County,2
173,184,City of Cerritos \ Unincorporated Cerritos,49593,50430,5685.595585575685,4.4,220.6,Low,83.743852541,South County,4
174,153,City of Lakewood / Unincorporated Lakewood,80160,81486,6071.978674211769,1.956177,159.40100000000004,Low,55.617529066,South County,4
175,165,City of Long Beach East / Unincorporated Long Beach ,79121,79137,9887.230796751852,8.601173,680.671,Low,43.1664693241,South County,4
176,086,City of Rolling Hills Estates / Unincorporated Westfield,10072,10191,2743.356727848824,5.993033,61.075,Very Low,61.0173256532,South County,4
177,053,City of Avalon / Unincorporated Channel Islands North,4090,4189,47833.892712350054,1.014801,4.251,Very Low,59.2786770112,South County,4
178,067,City of LA Westchester - Playa del Rey / City of LA Los Angeles International Airport,56639,58703,9102.535565851118,0.843841,49.535999999999994,High,15.6019005716,South County,4
179,121,City of LA Wilmington - Harbor City / City of LA Port of Los Angeles,77384,80814,6855.246000706997,4.574369,369.673,Moderate,61.764127069,South County,4
180,185,City of LA San Pedro / City of LA Port of Los Angeles / Unincorporated La Rambla,80000,83023,8333.631297274791,8.744505,725.9950000000001,Moderate,88.9633675421,South County,4
181,091,Unincorporated Castaic - Val Verde,,35705,134847.3581142838,263.758855,5407.238,Moderate,12.6453066967,North County,5
182,010,Unincorporated Agua Dulce/ Unincorporated Angeles National Forest/ Unincorporated Canyon Country,,9866,154944.57317190015,123.369211,5261.08,Low,0.0424195087389,North County,5
183,049,Unincorporated Stevenson/Newhall Ranch/ Unincorporated Castaic - Val Verde,,20030,31300.072671546903,9.858612,197.468,Very Low,30.7277463484,North County,5
184,151,Santa Clarita - South,,92622,24128.180821454505,4.776954,442.451,Moderate,16.176643432,North County,5
185,179,Santa Clarita - North,,128396,18090.205911095465,3.82494,491.107,Moderate,22.9917355005,North County,5
186,009,Unincorporated Acton/ Unincorporated South Antelope Valley,,11938,115230.58500508551,0.794438,9.484,Very Low,0.762172909523,North County,5
187,029,Unincorporated Angeles National Forest\ Unincorporated Sylmar\ Unincorporated Castaic - Val Verde,,2664,310558.7318387096,51.111486,136.161,Low,5.01912732909,North County,5
188,127,Unincorporated Azusa,16043,19614,1002.1169115896802,2.5,41.781000000000006,Moderate,61.4054906287,South County,1
