rank,study_area_name,acres_per_1000,median_household_income,no_high_school_diploma_pct,park_acres,need_description,walkable_percentage,source_context
121,Unincorporated Willowbrook,3.601261,48624.0,40.0,2567.1512004,High,66.08841594,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
122,City of LA Northeast Los Angeles - North,3.636028,68431.0,20.0,9611.01163863,Moderate,49.63644935,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
123,City of Whittier,3.8,81541.0,12.0,9385.52576919,Low,76.70814449,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
124,Santa Clarita - North,3.82494,110601.0,7.0,18090.2059111,Moderate,22.9917355,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
125,City of LA Chatsworth - Porter Ranch / Unin. Chatsworth / Unic. Northridge / Unic. Conoga Park / Unic Porter Ranch-Oat Mountain,3.94779,92580.0,10.0,26378.80052245,Low,41.94212593,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
126,City of La Mirada,4.1,96403.0,9.0,5017.76601914,Moderate,60.0,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
127,City of Westlake Village,4.2,149833.0,1.0,3523.47742481,Very Low,54.64523327,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
128,City of LA Sylmar,4.221127,74259.0,28.0,7888.76017572,Moderate,35.08985482,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
129,Unincorporated Valinda,4.232478,79570.0,28.0,1305.53106028,Moderate,17.23952416,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
130,City of Cerritos  /  Unincorporated Cerritos,4.4,107321.0,6.0,5685.59558558,Low,83.74385254,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
