rank,study_area_name,acres_per_1000,median_household_income,no_high_school_diploma_pct,park_acres,need_description,walkable_percentage,source_context
46,City of LA Venice,0.874883,109977.0,5.0,2006.30703855,Very High,75.91530249,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
47,Unincorporated Altadena,0.893305,103961.0,10.0,5650.14573419,Low,32.13252719,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
48,City of Monrovia,0.9,82849.0,10.0,8800.75112614,Low,57.88223164,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
49,City of LA Valley Glen - North Sherman Oaks,0.90933,61211.0,18.0,4240.54062947,High,31.52602501,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
50,City of Long Beach North,0.914829,55281.0,26.0,4648.33999972,High,63.59489446,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
51,City of Alhambra,0.917058,64542.0,17.0,4883.73564796,High,43.89991611,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
52,City of LA West Los Angeles,0.982705,100358.0,5.0,4573.89853748,High,36.57506296,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
53,City of Rosemead,0.993771,54282.0,32.0,3310.64067605,Moderate,46.16214059,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
54,City of Artesia,1.002206,65469.0,19.0,1038.7255183,High,46.24520405,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
55,City of Covina,1.009688,76847.0,13.0,4501.57113124,Moderate,40.34033675,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
56,Unincorporated East Los Angeles - Northwest,1.011493,46516.0,48.0,2848.72327812,Very High,44.64647469,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
57,City of Avalon / Unincorporated Channel Islands North,1.014801,64294.0,9.0,47833.89271235,Very Low,59.27867701,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
58,City of Norwalk,1.060293,69168.0,24.0,6246.93373149,High,47.23919298,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
59,City of Burbank,1.078017,80693.0,8.0,11082.26949921,Low,64.28076728,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
60,City of LA Southeast Los Angeles,1.096769,36308.0,45.0,5568.01105821,Very High,56.92235236,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
61,City of Downey,1.105872,74280.0,20.0,8045.44870816,High,38.72123031,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
62,City of LA North Hollywood - Valley Village,1.123886,57290.0,16.0,6791.46884905,Very High,39.17328067,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
63,City of LA Sun Valley - La Tuna Canyon,1.199641,60161.0,30.0,10504.56866782,High,29.38255906,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
64,Unincorporated Florence-Firestone,1.220454,40139.0,54.0,2277.53599969,Very High,59.28789351,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
65,City of Pico Rivera,1.289736,68392.0,27.0,5595.75616635,Low,43.80999151,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
66,City of Arcadia,1.297628,101862.0,7.0,7108.04212812,Low,69.63672744,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
67,City of Bell Gardens,1.309718,42905.0,51.0,1577.40582627,Very High,81.61911038,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
68,City of Montebello,1.319649,56505.0,26.0,5355.87435905,Moderate,60.47002916,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
69,City of Redondo Beach,1.368521,120818.0,3.0,3970.93356594,Moderate,87.33694342,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
70,City of San Fernando,1.376143,59864.0,35.0,1518.21369046,High,80.410182,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
71,Unincorporated Pellissier Village-Avocado Heights-North Whittier,1.379259,84952.0,27.0,1829.64963069,Very Low,45.18643096,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
72,City of West Covina,1.413627,82692.0,14.0,10279.64204897,Moderate,43.93267094,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
73,City of Pomona - Southside,1.418835,59019.0,31.0,7101.52904114,Moderate,53.3026476,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
74,City of Pasadena - Eastside / Unincorporated Kinneloa Mesa,1.431107,86473.0,11.0,6376.84658925,Moderate,51.11760123,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
75,City of LA Northridge,1.439836,80860.0,10.0,6332.0760475,High,15.46286954,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
76,City of Santa Monica,1.447654,97276.0,5.0,5350.4469346,Moderate,72.35645694,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
77,City of Carson,1.528341,84979.0,18.0,12121.77648235,High,51.06317698,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
78,Unincorporated West Rancho Dominguez,1.533241,54042.0,24.0,1052.17073766,Very Low,54.25218773,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
79,City of South Gate,1.534991,53101.0,42.0,4704.95126885,Very High,44.70948294,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
80,City of LA Central City North,1.554053,50355.0,29.0,2022.34995721,High,49.44870496,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
81,Unincorporated South Whittier/ Unincorporated East La Mirada,1.570393,76245.0,19.0,4119.62898845,Moderate,44.60243461,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
82,City of Long Beach West,1.626048,57594.0,27.0,4330.31035617,Very High,61.19611138,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
83,City of Lynwood/ Unincorporated Lynwood,1.643601,52069.0,42.0,3183.55944543,High,62.83471789,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
84,City of Long Beach Central,1.67029,79877.0,9.0,4416.03107062,Low,66.86859948,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
85,Unincorporated Topanga Canyon / Topanga,1.740899,140572.0,1.0,15425.70921041,Very Low,46.01889375,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
86,City of Glendora / Unincorporated Glendora,1.750393,93881.0,9.0,12919.68539294,Low,43.0,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
87,City of Paramount,1.815072,53580.0,34.0,3090.53102899,Very High,60.19667964,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
88,City of Beverly Hills,1.9,117361.0,4.0,3655.72245269,Moderate,80.14961267,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
89,Unincorporated Littlerock,1.93886,59823.0,35.0,36278.79200539,Very Low,2.11754831,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
90,City of Lakewood / Unincorporated Lakewood,1.956177,92217.0,9.0,6071.97867421,Low,55.61752907,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
91,City of La Habra Heights,1.979308,139537.0,6.0,3943.03726735,Very Low,25.68792518,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
92,City of San Marino,1.987977,191916.0,2.0,2410.70087739,Very Low,41.06000951,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
93,City of Monterey Park,2.009912,66885.0,20.0,4951.89772263,Moderate,60.10509635,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
